player_name,player_short_name,player_id,player_birthdate,team_name,team_id,competition_name,season_name,position_group,minutes_full_all,count_match,distance_per_match,total_metersperminute_full_all,running_per_match,hsr_per_match,sprint_per_match,hi_per_match,hsr_count_per_match,sprint_count_per_match,hi_count_per_match,high_accel_per_match,high_decel_per_match,accel_decel_load_per_match,high_intensity_share,sprint_share,top_speed,load_index,load_level,load_comment
Tim Payne,T. Payne,51017,1994-01-10,Wellington Phoenix FC,867,AUS - A-League,2024/2025,Central Defender,96.95,1,9808.0,101.17,1102.0,368.0,145.0,513.0,36.0,8.0,44.0,4.0,9.0,188.0,0.0523042414355628,0.014783849918433931,28.7,38.674644816862354,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Juan Manuel Mata García,Juan Mata,5521,1988-04-28,Western Sydney Wanderers FC,2902,AUS - A-League,2024/2025,Center Forward,63.18,1,7734.0,122.41,1212.0,516.0,36.0,552.0,35.0,3.0,38.0,3.0,9.0,153.0,0.07137315748642359,0.004654771140418929,25.7,38.191503626585195,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Florin Bérenguer,F. Bérenguer,560882,1989-04-01,Brisbane Roar FC,1802,AUS - A-League,2024/2025,Wide Attacker,67.32,1,8100.0,120.33,1185.0,393.0,44.0,437.0,32.0,2.0,34.0,3.0,13.0,156.0,0.05395061728395062,0.005432098765432099,26.9,37.61959081052765,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Mohamed Al-Taay,M. Al-Taay,735576,2000-06-15,Western Sydney Wanderers FC,2902,AUS - A-League,2024/2025,Midfield,79.6,1,9873.0,124.03,1792.0,312.0,8.0,320.0,30.0,2.0,32.0,3.0,12.0,235.0,0.03241162767142713,0.0008102906917856781,24.3,37.42176424465351,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Ryan Kitto,R. Kitto,23925,1994-08-09,Adelaide United Football Club,866,AUS - A-League,2024/2025,Wide Attacker,84.88,2,4994.75,117.7,722.25,382.25,135.0,517.25,35.0,7.5,42.5,3.25,10.5,111.75,0.10355873667350718,0.027028379798788728,28.5,36.886822040343375,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Oliver Lavale,O. Lavale,818284,2005-04-05,Western United,1803,AUS - A-League,2024/2025,Center Forward,75.62,2,4802.75,127.03,738.0,336.25,88.5,424.75,31.0,5.5,36.5,4.25,7.5,103.25,0.08843891520483056,0.01842694289729842,27.9,36.30179544557202,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Valère Germain,V. Germain,10623,1990-04-17,Macarthur FC,1804,AUS - A-League,2024/2025,Wide Attacker,98.12,1,9815.0,100.03,1217.0,253.0,73.0,326.0,30.0,4.0,34.0,7.0,9.0,202.0,0.033214467651553746,0.007437595517065716,27.7,34.7659833705323,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Andrew  Nabbout,A. Nabbout,11887,1992-12-17,Melbourne City FC,2380,AUS - A-League,2024/2025,Center Forward,95.58,2,5420.5,113.42,678.25,349.75,123.25,473.0,34.75,7.75,42.5,3.25,6.75,107.0,0.0872613227562033,0.022737754819666084,29.65,34.65814563941813,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Yianni Nicolaou,Y. Nicolaou,795516,2000-01-05,Macarthur FC,1804,AUS - A-League,2024/2025,Full Back,76.15,2,4416.5,115.99,635.75,327.25,145.5,472.75,30.0,6.5,36.5,3.0,9.0,100.0,0.10704177516132685,0.032944639420355484,29.45,34.37129774345075,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Sebastian Pasquali,S. Pasquali,51701,1999-11-07,Western United,1803,AUS - A-League,2024/2025,Midfield,75.92,2,5174.75,136.33,1159.25,386.0,49.25,435.25,26.0,2.75,28.75,1.25,4.75,99.5,0.08411034349485483,0.00951736798879173,25.85,34.1791078259439,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Harry Crawford,H. Crawford,998842,1991-12-10,Adelaide United Football Club,866,AUS - A-League,2024/2025,Full Back,101.42,2,5518.0,108.82,689.25,329.75,121.75,451.5,29.25,6.0,35.25,3.5,9.5,113.75,0.08182312432040595,0.022064153678869155,31.05,34.032402810318004,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Kota Mizunuma,K. Mizunuma,152111,1990-02-22,Newcastle United Jets FC,1805,AUS - A-League,2024/2025,Full Back,94.29,2,5479.0,116.21,914.5,367.75,91.75,459.5,29.5,5.75,35.25,3.75,9.25,129.75,0.08386566891768571,0.016745756524913304,27.05,33.89781383442446,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Max Burgess,M. Burgess,51700,1995-01-16,Sydney Football Club,869,AUS - A-League,2024/2025,Wide Attacker,91.26,2,5879.0,128.84,1030.5,363.0,61.5,424.5,27.25,3.75,31.0,1.5,4.75,93.75,0.07220615750978057,0.010460962748766798,27.1,33.63726425949431,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Sam Sutton,S. Sutton,51028,2001-12-10,Wellington Phoenix FC,867,AUS - A-League,2024/2025,Wide Attacker,98.84,2,5488.75,111.06,751.25,293.5,92.0,385.5,29.75,5.25,35.0,5.0,10.25,127.5,0.07023457071282169,0.01676155773172398,28.2,32.83942740341476,low,Низкая нагрузка по сравнению с другими игроками датасета.
Lawrence Wong,L. Wong,972648,2007-10-06,Melbourne City FC,2380,AUS - A-League,2024/2025,Midfield,74.33,2,4833.75,130.06,919.5,292.75,46.25,339.0,26.5,2.75,29.25,2.25,5.5,101.75,0.07013188518231186,0.009568140677527799,27.6,32.15664882339404,low,Низкая нагрузка по сравнению с другими игроками датасета.
Lukas Kelly-Heald,L. Kelly-Heald,698141,2005-03-18,Wellington Phoenix FC,867,AUS - A-League,2024/2025,Full Back,99.53,2,5487.75,110.27,689.0,269.25,113.5,382.75,26.25,5.75,32.0,4.25,7.75,137.25,0.06974625301808574,0.020682429046512688,29.0,32.08304643494784,low,Низкая нагрузка по сравнению с другими игроками датасета.
Henry Hore,H. Hore,560901,1999-08-17,Brisbane Roar FC,1802,AUS - A-League,2024/2025,Midfield,97.15,2,6324.25,130.2,1080.0,257.75,34.5,292.25,25.25,2.25,27.5,2.0,6.5,122.75,0.04621101316361624,0.005455192315294304,25.75,32.003080831640496,low,Низкая нагрузка по сравнению с другими игроками датасета.
Tim Payne,T. Payne,51017,1994-01-10,Wellington Phoenix FC,867,AUS - A-League,2024/2025,Wide Attacker,97.01,2,5318.0,109.64,710.25,359.5,103.25,462.75,31.5,6.0,37.5,3.0,8.0,112.25,0.08701579541180895,0.019415193681835276,28.7,31.847235303847434,low,Низкая нагрузка по сравнению с другими игроками датасета.
Cameron Drew Howieson,C. Howieson,133495,1994-12-22,Auckland FC,4177,AUS - A-League,2024/2025,Midfield,73.53,2,4523.25,123.03,920.25,348.5,62.25,410.75,26.75,3.5,30.25,2.5,8.0,106.75,0.090808600011054,0.013762228486154866,27.4,31.807091979719736,low,Низкая нагрузка по сравнению с другими игроками датасета.
Wellissol Santos de Oliveira,Wellissol,33001,1998-02-16,Newcastle United Jets FC,1805,AUS - A-League,2024/2025,Center Forward,63.38,2,3670.75,115.84,565.25,245.75,86.75,332.5,26.75,5.25,32.0,5.75,7.75,90.75,0.09058094394878431,0.02363277259415651,29.8,31.44401130908915,low,Низкая нагрузка по сравнению с другими игроками датасета.
William  Freney,W. Freney,966113,2005-11-04,Perth Glory Football Club,871,AUS - A-League,2024/2025,Wide Attacker,68.04,2,4516.5,132.76,859.75,314.25,32.25,346.5,23.75,2.75,26.5,1.75,7.25,106.5,0.07671869810694122,0.007140484888741282,26.0,31.424646449344937,low,Низкая нагрузка по сравнению с другими игроками датасета.
Luke Brooke-Smith,L. Brooke-Smith,972687,2008-06-06,Wellington Phoenix FC,867,AUS - A-League,2024/2025,Wide Attacker,67.16,3,2911.6666666666665,130.06,482.22333333333336,226.66666666666666,87.11,313.7766666666667,21.55666666666667,4.11,25.666666666666668,2.3333333333333335,6.776666666666666,61.99666666666667,0.10776531196336578,0.029917572982255294,29.63,31.012869741309387,low,Низкая нагрузка по сравнению с другими игроками датасета.
Khoa Ngo,K. Ngo,966115,2006-06-30,Perth Glory Football Club,871,AUS - A-League,2024/2025,Wide Attacker,65.11,2,3964.75,121.79,553.75,295.25,65.0,360.25,24.5,5.25,29.75,3.0,10.0,94.0,0.09086323223406267,0.01639447632259285,28.0,30.992210011210094,low,Низкая нагрузка по сравнению с другими игроками датасета.
