competition_name,season_name,match_id,match_date,player_id,player_name,team_id,team_name,position_name,total_events,shots,goals,xg,passes,completed_passes,pass_accuracy,progressive_passes,passes_into_final_third,key_passes,carries,progressive_carries,pressures,duels,duels_won,interceptions,clearances,blocks,dribbles,successful_dribbles,avg_x,avg_y,home_team,away_team,competition_stage,opponent_team,is_home_team,duel_success_rate,dribble_success_rate,xg_per_shot,xg_norm,shots_norm,goals_norm,key_passes_norm,progressive_passes_norm,passes_into_final_third_norm,progressive_carries_norm,pressures_norm,interceptions_norm,duel_success_rate_norm,dribble_success_rate_norm,total_events_norm,form_score,form_level
UEFA Euro,2024,3930166,2024-06-18,16469,Tomáš Holeš,912,Czech Republic,Right Center Back,68,0,0,0.0,16,10,0.625,10,1,0,8,1,12,5,2,2,3,4,0,0,40.11492537313431,59.42835820895522,Portugal,Czech Republic,Group Stage,Portugal,0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.17543859649122806,0.030303030303030304,0.043478260869565216,0.32432432432432434,0.25,0.4,0.0,0.15990453460620524,6.475348825005575,low
UEFA Euro,2024,3930166,2024-06-18,28272,Ladislav Krejčí,912,Czech Republic,Left Center Back,74,0,0,0.0,26,18,0.6923076923076923,10,3,0,15,1,6,2,1,3,2,2,0,0,34.67567567567568,23.06621621621621,Portugal,Czech Republic,Group Stage,Portugal,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.17543859649122806,0.09090909090909091,0.043478260869565216,0.16216216216216217,0.375,0.5,0.0,0.17422434367541767,6.867568317225068,low
UEFA Euro,2024,3930166,2024-06-18,32985,Mojmír Chytil,912,Czech Republic,Center Forward,52,1,0,0.040316492,7,3,0.42857142857142855,3,2,1,7,3,5,4,0,0,0,3,2,1,76.2442307692308,51.75961538461539,Portugal,Czech Republic,Group Stage,Portugal,0,0.0,0.5,0.040316492,0.02068148295115881,0.1111111111111111,0.0,0.14285714285714285,0.05263157894736842,0.06060606060606061,0.13043478260869565,0.13513513513513514,0.0,0.0,0.5,0.12171837708830549,7.605219642510738,low
UEFA Euro,2024,3930166,2024-06-18,27826,Ondřej Lingr,912,Czech Republic,Left Attacking Midfield,38,0,0,0.0,8,5,0.625,1,0,0,7,1,3,1,0,0,0,1,0,0,81.64736842105266,54.50789473684211,Portugal,Czech Republic,Group Stage,Portugal,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.043478260869565216,0.08108108108108109,0.0,0.0,0.0,0.0883054892601432,0.9286700888531552,low
UEFA Euro,2024,3930166,2024-06-18,42106,Gonçalo Bernardo Inácio,780,Portugal,Left Center Back,106,0,0,0.0,34,25,0.7352941176470589,12,5,0,28,1,7,0,0,0,0,5,1,1,55.015094339622635,10.783018867924529,Portugal,Czech Republic,Group Stage,Czech Republic,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.15151515151515152,0.043478260869565216,0.1891891891891892,0.0,0.0,1.0,0.25059665871121717,8.156610948372961,low
UEFA Euro,2024,3930166,2024-06-18,9929,Diogo José Teixeira da Silva,780,Portugal,Left Center Forward,62,0,0,0.0,12,6,0.5,4,1,0,9,3,12,4,1,0,0,2,2,1,74.52903225806452,22.288709677419345,Portugal,Czech Republic,Group Stage,Czech Republic,1,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.07017543859649122,0.030303030303030304,0.13043478260869565,0.32432432432432434,0.0,0.25,0.5,0.14558472553699284,6.5183694199712505,low
UEFA Euro,2024,3930166,2024-06-18,7801,Antonín Barák,912,Czech Republic,Right Defensive Midfield,36,0,0,0.0,8,5,0.625,2,0,0,6,0,6,2,1,0,0,0,1,0,73.8888888888889,54.78333333333333,Portugal,Czech Republic,Group Stage,Portugal,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.03508771929824561,0.0,0.0,0.16216216216216217,0.0,0.5,0.0,0.08353221957040573,3.161688003793267,low
UEFA Euro,2024,3930166,2024-06-18,23454,Petr Ševčík,912,Czech Republic,Right Attacking Midfield,20,1,0,0.11256568,5,3,0.6,1,1,0,4,0,1,1,0,0,0,0,0,0,72.955,49.7,Portugal,Czech Republic,Group Stage,Portugal,0,0.0,0.0,0.11256568,0.05774374396972827,0.1111111111111111,0.0,0.0,0.017543859649122806,0.030303030303030304,0.0,0.02702702702702703,0.0,0.0,0.0,0.045346062052505964,3.0167935934958323,low
UEFA Euro,2024,3930166,2024-06-18,23256,Pedro Lomba Neto,780,Portugal,Left Wing Back,12,0,0,0.0,2,0,0.0,1,1,0,3,0,1,0,0,0,1,0,1,1,68.37500000000001,11.141666666666666,Portugal,Czech Republic,Group Stage,Czech Republic,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.030303030303030304,0.0,0.02702702702702703,0.0,0.0,1.0,0.026252983293556086,4.462088883141515,low
UEFA Euro,2024,3930166,2024-06-18,39624,Francisco Fernandes Conceição,780,Portugal,Center Attacking Midfield,7,1,1,0.59001094,1,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,71.83333333333333,40.666666666666664,Portugal,Czech Republic,Group Stage,Czech Republic,1,0.0,0.0,0.59001094,0.30266277127005947,0.1111111111111111,0.5,0.0,0.017543859649122806,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.014319809069212411,16.488254124488964,low
